id,revenue,gas_fee_base_raw,profit
6999,205478071,128462617,77015454
678,0,32023690,-32023690
679,0,32023690,-32023690
12529,76324171,22081413,54242758
7632,135082184,28934773,106147411
12530,0,139838517,-139838517
12531,103158862,18303373,84855489
6526,119468058,13739791,105728267
9005,70006323,13633410,56372913
7633,33108992,27268051,5840941
12532,220255941,21571585,198684356
6527,152851273,20373440,132477833
7634,746443159,34422719,712020440
6528,10110842,18616002,-8505160
7635,0,32189953,-32189953
12533,146205737,14399050,131806687
12534,59099263,16213639,42885624
6529,66488883,16830786,49658097
6530,52075258,19506086,32569172
6531,29059269,18582094,10477175
7636,47424575,27856355,19568220
7637,52262690,22652746,29609944
7000,0,63945395,-63945395
7001,0,11649154,-11649154
7002,92704298,22113700,70590598
12535,0,20795520,-20795520
5531,0,42552069,-42552069
12536,0,141426694,-141426694
12537,0,22529858,-22529858
12538,0,34648263,-34648263
12539,0,26753618,-26753618
12540,146786664,34084865,112701799
7638,58854261,20717905,38136356
12541,165112724,16356653,148756071
7639,80310537,27392951,52917586
7640,23140427,21006496,2133931
7641,0,26115148,-26115148
7642,457371703,35549305,421822398
6532,51003292,19878920,31124372
7643,164601711,21532475,143069236
7644,78015896,13088296,64927600
680,0,18468985,-18468985
7645,50814529,16772239,34042290
681,0,21839265,-21839265
7646,20423429,15377081,5046348
6097,1251268970,18441901,1232827069
7647,7059360,14054796,-6995436
12542,140369146,17773244,122595902
6098,310503011,16899778,293603233
12543,144622847,9380585,135242262
6099,624626209,151032710,473593499
6100,624626209,151032710,473593499
6101,6403472802,19442265,6384030537
6102,88957027,90686554,-1729527
7648,73551972,54167643,19384329
12544,76777910,32506065,44271845
7649,219200406,29430982,189769424
7650,57624269,22840506,34783763
8000,760660515,113245583,647414932
8001,395909387,178407828,217501559
8002,68944823,25984980,42959843
682,0,59336962,-59336962
6103,327100892,38350313,288750579
6104,327100892,38350313,288750579
8003,68504319,19298519,49205800
12545,14794581,18647068,-3852487
5532,47876530,41264931,6611599
12546,118738780,40149010,78589770
6533,153040061,59779232,93260829
683,0,71339320,-71339320
684,0,71339320,-71339320
685,764333482,348812067,415521415
12547,230490830,87569668,142921162
9006,0,101458005,-101458005
6534,94488436,44591113,49897323
7003,138526875,80600064,57926811
6535,176162108,56839735,119322373
7651,92317093,73157124,19159969
9007,0,335189808,-335189808
9008,0,238011956,-238011956
8004,169428179,50679685,118748494
12548,0,147541095,-147541095
12549,2159796190,33015685,2126780505
12550,97838571,33358478,64480093
12551,471058160,267440873,203617287
12552,252493390,56032650,196460740
12553,191349935,53314948,138034987
12554,191349935,53314948,138034987
12555,292152848,158501809,133651039
12556,0,236126255,-236126255
12557,0,72173193,-72173193
12558,908827449,22702328,886125121
7652,229245141,40379437,188865704
7653,296243507,43795332,252448175
9009,0,31569080,-31569080
9010,718721530,48391204,670330326
686,0,31310086,-31310086
7654,0,83279846,-83279846
7655,0,89712401,-89712401
7656,554695587,89791354,464904233
7657,0,85333880,-85333880
12559,0,228402167,-228402167
7658,484060961,81800668,402260293
12560,1334542960,50330124,1284212836
12561,323154039,61044479,262109560
12562,331542336,61019219,270523117
12563,215977065,60082498,155894567
6105,891093287,25990846,865102441
687,0,40298865,-40298865
8005,0,255904992,-255904992
12564,634843495,126944513,507898982
12566,132642945,61469476,71173469
12565,132642945,61469476,71173469
12567,2364794567,183722853,2181071714
7659,323918873,43103746,280815127
9011,0,227556346,-227556346
9012,0,227556346,-227556346
9013,2951898295,205667329,2746230966
9014,2951898295,205667329,2746230966
9015,273311993,34189647,239122346
9016,89910775,38879880,51030895
7660,63148250,37381381,25766869
688,0,261578134,-261578134
12568,2018842,44888031,-42869189
12569,0,362437101,-362437101
6536,168480518,65166776,103313742
6537,73430472,38568667,34861805
6538,161925724,56285698,105640026
961,0,68865295,-68865295
962,0,68865295,-68865295
7004,130514600,76302586,54212014
6539,112705634,24301666,88403968
6540,64193020,33989701,30203319
12570,0,60330818,-60330818
12571,248650734,28126896,220523838
12572,81594658,22868961,58725697
12573,0,268416931,-268416931
12574,0,268416931,-268416931
12575,118629797,23461132,95168665
6541,74692028,27636901,47055127
8006,61720464,27411622,34308842
12576,195338451,24750061,170588390
5533,96032817,84510569,11522248
12577,0,267548633,-267548633
6542,445057820,36306127,408751693
6543,715741387,28514893,687226494
6544,346504373,59557956,286946417
12578,73756574,25212750,48543824
12579,101792115,25174678,76617437
7661,62623836,37420356,25203480
6545,44092568,25566735,18525833
12580,605342310,35479124,569863186
12581,605342310,35479124,569863186
12582,0,24188060,-24188060
6408,0,23227035,-23227035
6546,130609007,44581428,86027579
6547,78037617,42235680,35801937
12583,0,148299676,-148299676
12584,0,124847964,-124847964
12585,0,124847964,-124847964
12586,0,124847964,-124847964
12587,258736484,31404450,227332034
963,0,1882061360,-1882061360
964,0,1882061360,-1882061360
965,0,1882061360,-1882061360
6106,487465002,62344506,425120496
7662,412046284,43917577,368128707
7663,114533196,45760916,68772280
7664,111104512,39429054,71675458
8010,310682222,50678108,260004114
7665,0,46081256,-46081256
6107,677728636,28776512,648952124
6108,0,28945318,-28945318
966,0,1314728526,-1314728526
967,0,1314728526,-1314728526
968,0,1314728526,-1314728526
969,0,248450702,-248450702
970,0,248450702,-248450702
971,0,153010359,-153010359
972,0,153010359,-153010359
973,0,153010359,-153010359
974,0,263993628,-263993628
975,0,263993628,-263993628
976,0,263993628,-263993628
8011,0,52329994,-52329994
8012,118967187,50790783,68176404
6109,192519776,42571862,149947914
12591,401582548,248955275,152627273
977,0,764034844,-764034844
978,0,764034844,-764034844
979,0,802218002,-802218002
6110,197401680,76210180,121191500
12592,107018621,91558795,15459826
12593,107018621,91558795,15459826
6111,826586575,68997016,757589559
980,0,161369561,-161369561
12594,0,153684504,-153684504
6112,639507845,169059688,470448157
6113,121655991,92078838,29577153
6114,227735515,92411718,135323797
8013,207649201,114679314,92969887
8014,0,261313368,-261313368
